,P(cancer),P(center),P(cancer).P(center),"P(cancer,center)",P(cancer|center),P(center|cancer)
"('Mesothelioma', 'Memorial Sloan Kettering')",0.0013,0.036,4.68E-05,0.0003,0.0071,0.1955
"('Sarcoma', 'Roswell Park')",0.0186,0.0472,0.00087792,0.0002,0.0046,0.0116
"('Sarcoma', 'Fox Chase')",0.0186,0.0082,0.00015252,0.0006,0.0714,0.0315
"('Sarcoma', 'ILSBIO')",0.0186,0.0158,0.00029388,0.0001,0.0063,0.0054
"('Sarcoma', 'BLN - Baylor')",0.0186,0.0147,0.00027342,0.001,0.0676,0.0534
"('Sarcoma', 'University of North Carolina')",0.0186,0.0106,0.00019716,0.0004,0.0331,0.0188
"('Sarcoma', 'University of Pittsburgh')",0.0186,0.0743,0.00138198,0.0003,0.0039,0.0155
"('Sarcoma', 'International Genomics Consortium')",0.0186,0.0295,0.0005487,0.0002,0.0059,0.0093
"('Sarcoma', 'Moffitt Cancer Center')",0.0186,0.0072,0.00013392,0.0015,0.2075,0.0803
"('Sarcoma', 'Memorial Sloan Kettering')",0.0186,0.036,0.0006696,0.0144,0.4,0.7741
"('Kidney Chromophobe', 'Harvard')",0.013,0.0103,0.0001339,0.0027,0.2579,0.2043
"('Kidney Chromophobe', 'MD Anderson')",0.013,0.0728,0.0009464,0.0013,0.018,0.101
"('Kidney Chromophobe', 'University of North Carolina')",0.013,0.0106,0.0001378,0.0054,0.5125,0.4179
"('Kidney Chromophobe', 'International Genomics Consortium')",0.013,0.0295,0.0003835,0.0001,0.005,0.0113
"('Kidney Chromophobe', 'MSKCC')",0.013,0.0542,0.0007046,0.0035,0.0638,0.2659
"('Uveal Melanoma', 'MD Anderson')",0.0005,0.0728,3.64E-05,0.0005,0.0068,0.9856
"('Skin Cutaneous Melanoma', 'University of Sydney')",0.0212,0.0073,0.00015476,0.0073,1.0068,0.3467
"('Skin Cutaneous Melanoma', 'MD Anderson')",0.0212,0.0728,0.00154336,0.0036,0.0496,0.1703
"('Skin Cutaneous Melanoma', 'Asterand')",0.0212,0.0665,0.0014098,0.0031,0.0463,0.1453
"('Skin Cutaneous Melanoma', 'Greater Poland Cancer Center')",0.0212,0.0201,0.00042612,0.0014,0.0718,0.0681
"('Skin Cutaneous Melanoma', 'Essen')",0.0212,0.0034,7.21E-05,0.0034,1.0033,0.1609
"('Skin Cutaneous Melanoma', 'Cureline')",0.0212,0.01,0.000212,0.0002,0.0193,0.0091
"('Skin Cutaneous Melanoma', 'University of North Carolina')",0.0212,0.0106,0.00022472,0.0007,0.0625,0.0312
"('Skin Cutaneous Melanoma', 'University of Pittsburgh')",0.0212,0.0743,0.00157516,0.0012,0.0162,0.0567
"('Skin Cutaneous Melanoma', 'International Genomics Consortium')",0.0212,0.0295,0.0006254,0.0001,0.0026,0.0036
"('Skin Cutaneous Melanoma', 'Emory University')",0.0212,0.0091,0.00019292,0.0002,0.0173,0.0074
"('Thymoma', 'University Health Network')",0.0008,0.0108,8.64E-06,0.0008,0.0781,1.0539
"('Ovarian Serous Cystadenocarcinoma', 'Roswell Park')",0.0112,0.0472,0.00052864,0.0001,0.0024,0.0103
"('Ovarian Serous Cystadenocarcinoma', 'Cedars Sinai')",0.0112,0.0097,0.00010864,0.0053,0.5414,0.4689
"('Ovarian Serous Cystadenocarcinoma', 'Mayo Clinic - Rochester')",0.0112,0.0528,0.00059136,0.0053,0.1003,0.4727
"('Ovarian Serous Cystadenocarcinoma', 'International Genomics Consortium')",0.0112,0.0295,0.0003304,0.0002,0.0068,0.0179
"('Ovarian Serous Cystadenocarcinoma', 'Memorial Sloan Kettering')",0.0112,0.036,0.0004032,0.0002,0.0063,0.0203
"('Ovarian Serous Cystadenocarcinoma', 'Christiana Healthcare')",0.0112,0.0094,0.00010528,0.0001,0.0147,0.0124
"('Prostate Adenocarcinoma', 'MD Anderson')",0.0273,0.0728,0.00198744,0.0062,0.0852,0.2272
"('Prostate Adenocarcinoma', 'Roswell Park')",0.0273,0.0472,0.00128856,0.0061,0.1291,0.2232
"('Prostate Adenocarcinoma', 'Asterand')",0.0273,0.0665,0.00181545,0.0004,0.0057,0.0138
"('Prostate Adenocarcinoma', 'Fox Chase')",0.0273,0.0082,0.00022386,0.0001,0.0108,0.0032
"('Prostate Adenocarcinoma', 'Indivumed')",0.0273,0.0351,0.00095823,0.0003,0.0095,0.0123
"('Prostate Adenocarcinoma', 'BLN - Baylor')",0.0273,0.0147,0.00040131,0.0002,0.016,0.0086
"('Prostate Adenocarcinoma', 'University of North Carolina')",0.0273,0.0106,0.00028938,0.0002,0.0145,0.0056
"('Prostate Adenocarcinoma', 'University of Pittsburgh')",0.0273,0.0743,0.00202839,0.0074,0.1,0.272
"('Prostate Adenocarcinoma', 'International Genomics Consortium')",0.0273,0.0295,0.00080535,0.002,0.068,0.0735
"('Prostate Adenocarcinoma', 'University of California San Francisco')",0.0273,0.0082,0.00022386,0.0043,0.5291,0.1589
